"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"609","T1506M",1537,"M",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
"610","T1507M",1538,"M",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
"611","T1508F",1539,"F",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-01-05,8,2,"daughter of T1162F; Priority breeders because of diabetic brothers",NA,NA,NA,NA,NA
"612","T1509F",1540,"F",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-03-04,8,2,"daughter of T1162F; Priority breeders because of diabetic brothers",16,16,16,24,NA
"613","T150F",312,"F",2,"T7M","T20F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-06,2017-01-24,4,1,NA,36,36,NA,NA,NA
"614","T1510F",1541,"F",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-03-04,8,2,"daughter of T1162F; Priority breeders because of diabetic brothers",8,NA,NA,NA,NA
"615","T1511M",1401,"M",11,"T1105M","T993F","T1057F","Rab","Rod","Rod","Rod","Rod",2021-08-23,2022-01-11,4,4,NA,8,8,8,20,20
"616","T1512M",1402,"M",11,"T1105M","T993F","T1057F","Rab","Rod","Rod","Rod","Rod",2021-08-23,2022-04-18,4,4,"ambiguous date of death",20,20,20,NA,NA
"617","T1513F",1403,"F",11,"T1105M","T993F","T1057F","Rab","Rod","Rab","Rab","Rab",2021-08-23,2022-01-08,4,4,"unusually heavy? Check 4wk weight data",NA,NA,NA,NA,NA
"618","T1514F",1404,"F",11,"T1105M","T993F","T1057F","Rab","Rod","Rab","Rab","Rab",2021-08-23,2022-02-11,4,4,"unusually heavy? Check 4wk weight data",NA,NA,NA,NA,NA
"619","T1515F",1755,"F",13,"T1142M","T1193F",NA,"Rab","Rab","Rab","Rab","Rab",2021-08-14,2022-04-01,4,1,"ambiguous date of death; Daughter of T1193F; Resistant line? Based on few generations ago",NA,NA,NA,NA,NA
"620","T1516F",1756,"F",13,"T1142M","T1193F",NA,"Rab","Rab","Rab","Rab","Rab",2021-08-14,2021-12-28,4,1,"Resistant line? Based on few generations ago",NA,NA,NA,NA,NA
"621","T1517F",1757,"F",13,"T1142M","T1193F",NA,"Rab","Rab","Rab","Rab","Rab",2021-08-14,2021-12-28,4,1,"Resistant line? Based on few generations ago",NA,NA,NA,NA,NA
"622","T1518F",1758,"F",13,"T1142M","T1193F",NA,"Rab","Rab","Rab","Rab","Rab",2021-08-14,2022-01-06,4,1,"Resistant line? Based on few generations ago",NA,NA,NA,NA,NA
"623","T1519M",1405,"M",11,"T1024M","T1051F",NA,"Rab","","",NA,NA,2021-08-27,2021-09-27,5,2,"No data",NA,NA,NA,NA,NA
"624","T151F",313,"F",2,"T7M","T20F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-06,2017-01-24,4,1,NA,NA,NA,NA,NA,NA
"625","T1520M",1406,"M",11,"T1024M","T1051F",NA,"Rab","","",NA,NA,2021-08-27,2021-09-27,5,2,"No data",NA,NA,NA,NA,NA
"626","T1521M",1407,"M",11,"T1024M","T1051F",NA,"Rab","","",NA,NA,2021-08-27,2021-09-27,5,2,"No data",NA,NA,NA,NA,NA
"627","T1522M",1408,"M",11,"T1024M","T1051F",NA,"Rab","","",NA,NA,2021-08-27,2021-09-27,5,2,"No data",NA,NA,NA,NA,NA
"628","T1523F",1409,"F",11,"T1024M","T1051F",NA,"Rab","Rab","Rab","Rab","Rab",2021-08-27,2022-01-07,5,2,NA,NA,NA,NA,NA,NA
"629","T1524M",1759,"M",13,"T1002M","T1201F",NA,"Rod","","",NA,NA,2021-08-31,2021-09-28,7,3,"No data",NA,NA,NA,NA,NA
"630","T1525M",1760,"M",13,"T1002M","T1201F",NA,"Rod","","",NA,NA,2021-08-31,2021-09-28,7,3,"No data",NA,NA,NA,NA,NA
